model,condition,level,correct,total
claude-haiku-4.5,schema-aware,1,10,10
claude-haiku-4.5,schema-aware,2,15,15
claude-haiku-4.5,schema-aware,3,12,15
claude-haiku-4.5,schema-aware,4,8,10
claude-haiku-4.5,zero-shot,1,10,10
claude-haiku-4.5,zero-shot,2,8,15
claude-haiku-4.5,zero-shot,3,9,15
claude-haiku-4.5,zero-shot,4,4,10
gemini-3.5-flash-lite,schema-aware,1,10,10
gemini-3.5-flash-lite,schema-aware,2,15,15
gemini-3.5-flash-lite,schema-aware,3,9,15
gemini-3.5-flash-lite,schema-aware,4,6,10
gemini-3.5-flash-lite,zero-shot,1,10,10
gemini-3.5-flash-lite,zero-shot,2,6,15
gemini-3.5-flash-lite,zero-shot,3,9,15
gemini-3.5-flash-lite,zero-shot,4,3,10
gpt-4.1-mini,schema-aware,1,10,10
gpt-4.1-mini,schema-aware,2,14,15
gpt-4.1-mini,schema-aware,3,13,15
gpt-4.1-mini,schema-aware,4,8,10
gpt-4.1-mini,zero-shot,1,10,10
gpt-4.1-mini,zero-shot,2,8,15
gpt-4.1-mini,zero-shot,3,7,15
gpt-4.1-mini,zero-shot,4,4,10
