id,level,model_scans,model_rows,truth_scans,truth_rows,verdict
L1-01,1,1,40,1,40,same
L1-02,1,1,22,1,22,same
L1-03,1,1,6,1,6,same
L1-04,1,1,22,1,22,same
L1-05,1,1,39,1,39,same
L1-06,1,0,10,0,10,same
L1-07,1,1,22,1,22,same
L1-08,1,0,2,0,2,same
L1-09,1,1,18,1,18,same
L1-10,1,1,4,1,4,same
L2-01,2,1,12,1,12,same
L2-02,2,1,20,1,20,same
L2-03,2,1,5,1,5,same
L2-04,2,1,16,1,16,same
L2-05,2,1,17,1,16,model_less_efficient
L2-06,2,1,87,1,87,same
L2-07,2,1,40,1,40,same
L2-08,2,1,20,1,20,same
L2-09,2,1,42,1,42,same
L2-10,2,1,12,1,12,same
L2-11,2,1,5,1,5,same
L2-12,2,1,20,1,20,same
L2-13,2,1,16,1,16,same
L2-14,2,1,87,1,87,same
L2-15,2,1,12,1,12,same
L3-01,3,1,5,1,5,same
L3-02,3,1,26,1,26,same
L3-03,3,1,40,1,40,same
L3-04,3,1,29,1,17,model_less_efficient
L3-05,3,0,27,0,27,same
L3-08,3,1,16,1,16,same
L3-10,3,1,12,1,12,same
L3-11,3,0,41,1,20,model_more_efficient
L3-12,3,0,27,0,27,same
L3-13,3,1,40,1,40,same
L3-14,3,1,23,1,23,same
L3-15,3,0,27,0,27,same
L4-02,4,1,171,1,171,same
L4-03,4,2,44,2,44,same
L4-04,4,1,22,1,22,same
L4-05,4,1,26,1,26,same
L4-06,4,1,45,1,14,model_less_efficient
L4-08,4,1,214,1,214,same
L4-09,4,2,22,2,22,same
L4-10,4,0,54,0,54,same
