model,condition,hallucinated_schema,wrong_join_path,column_shape_mismatch,wrong_aggregation,wrong_filter,syntax_error,total
claude-haiku-4.5,schema-aware,0,4,1,0,0,0,5
claude-haiku-4.5,zero-shot,17,2,0,0,0,0,19
gemini-3.5-flash-lite,schema-aware,0,7,1,1,1,0,10
gemini-3.5-flash-lite,zero-shot,20,1,0,1,0,0,22
gpt-4.1-mini,schema-aware,0,4,1,0,0,0,5
gpt-4.1-mini,zero-shot,19,2,0,0,0,0,21

level,,hallucinated_schema,wrong_join_path,column_shape_mismatch,wrong_aggregation,wrong_filter,syntax_error,total
Level 2,,23,1,0,0,0,0,24
Level 3,,18,12,0,0,1,0,31
Level 4,,15,7,3,2,0,0,27
